PrfID,Profile,PlatformID
64,Tirullipa ,2
56,Tom Holland ,1
8,tommyinnit ,3
55,Topper Guild ,2
75,Total Gaming,5
63,Trainwreckstv ,3
43,Trymacs ,3
1,T Series,5
32,T Series Bhakti Sagar,5
82,TSM Bjergsen ,3
18,Tubbo ,3
36,tuzelity ,2
56,Twitch ,3
16,Twitter ,4
34,UEFA Champions League ,1
97,Ultra Music,5
89,Urvashi Rautela ,1
70,VEGETTA777,5
95,VEGETTA777 ,3
72,Vicens ,3
47,Victorias Secret ,1
37,Vin Diesel ,1
17,Virat Kohli ,1
28,Virat Kohli ,4
89,Virender Sehwag ,4
43,Virginia ,2
10,Vlad and Niki,5
46,Voce Sabia,5
27,Wave Music,5
75,Whindersson Nunes ,1
44,whinderssonnunes,5
38,wigofellas,2
21,WilburSoot ,3
64,Will Smith ,1
5,Will Smith ,2
48,Wiz Khalifa ,4
69,wtcN ,3
8,WWE,5
24,xQcOW ,3
64,Yassuo ,3
63,ye ,4
83,YOLO HOUSE ,2
71,YouTube,5
11,YouTube ,4
36,YRF,5
17,YZ ,2
87,Zac Efron ,1
6,Zach King ,2
98,ZARA Official ,1
62,zayn ,4
9,Zee Music Company,5
19,Zee TV,5
24,Zendaya ,1
98,Zendaya ,4
97,Zerkaa ,3
84,Zlatan Ibrahimovic ,1
